dataset_id,feature_strategy,fold,error_type,sample_id,source_event_id,source_type,substation_id,label,y_probability,prediction_label,event67_flag,coverage_rate
strict_no_event20,fold_selected_compact13,3,FP,normal_0039,39,normal_event,15,normal,0.8751128667776846,efd_possible,False,1.0
strict_no_event20,fold_selected_compact13,3,FP,normal_0048,48,normal_event,11,normal,0.7753160102858753,efd_possible,False,1.0
strict_no_event20,locked_compact13,4,FN,strict_positive_0015,15,fault_record,29,efd_possible,0.20733854639550178,normal,False,1.0
strict_no_event20,locked_compact13,4,FN,strict_positive_0040,40,fault_record,24,efd_possible,0.08186565561156385,normal,False,0.9950396825396826
strict_no_event20,locked_compact13,2,FN,strict_positive_0052,52,fault_record,21,efd_possible,0.2652240436360162,normal,False,1.0
strict_no_event20,locked_compact13,2,FN,strict_positive_0067,67,fault_record,7,efd_possible,0.2985911355325486,normal,True,1.0
strict_no_event20,locked_compact13,4,FP,normal_0027,27,normal_event,12,normal,0.6036219314249135,efd_possible,False,1.0
strict_no_event20,locked_compact13,3,FP,normal_0068,68,normal_event,13,normal,0.6884342147771397,efd_possible,False,1.0
strict_no_event20_no_event67,expanded154,4,FN,strict_positive_0003,3,fault_record,12,efd_possible,0.023771909131105044,normal,False,1.0
strict_no_event20_no_event67,expanded154,5,FN,strict_positive_0015,15,fault_record,29,efd_possible,0.4221314272086519,normal,False,1.0
strict_no_event20_no_event67,expanded154,4,FN,strict_positive_0040,40,fault_record,24,efd_possible,0.02318807540648032,normal,False,0.9950396825396826
strict_no_event20_no_event67,expanded154,2,FN,strict_positive_0044,44,fault_record,8,efd_possible,0.5392588572990039,normal,False,1.0
strict_no_event20_no_event67,expanded154,2,FN,strict_positive_0052,52,fault_record,21,efd_possible,0.006582639648654159,normal,False,1.0
strict_no_event20_no_event67,expanded154,3,FN,strict_positive_0053,53,fault_record,13,efd_possible,0.11169857011258266,normal,False,1.0
strict_no_event20_no_event67,expanded154,2,FN,strict_positive_0057,57,fault_record,9,efd_possible,0.595671408553123,normal,False,1.0
strict_no_event20_no_event67,expanded154,5,FP,normal_0008,8,normal_event,6,normal,0.8496586412671497,efd_possible,False,1.0
strict_no_event20_no_event67,expanded154,3,FP,normal_0039,39,normal_event,15,normal,0.9313903409475353,efd_possible,False,1.0
strict_no_event20_no_event67,expanded154,1,FP,normal_0055,55,normal_event,23,normal,0.688361923995002,efd_possible,False,1.0
strict_no_event20_no_event67,expanded154,4,FP,normal_0061,61,normal_event,14,normal,0.9917900572118551,efd_possible,False,1.0
strict_no_event20_no_event67,expanded154,3,FP,normal_0068,68,normal_event,13,normal,0.9075308217039373,efd_possible,False,1.0
strict_no_event20_no_event67,fold_selected_compact13,4,FN,strict_positive_0003,3,fault_record,12,efd_possible,0.03154727808409623,normal,False,1.0
strict_no_event20_no_event67,fold_selected_compact13,5,FN,strict_positive_0015,15,fault_record,29,efd_possible,0.1348722797581612,normal,False,1.0
strict_no_event20_no_event67,fold_selected_compact13,4,FN,strict_positive_0040,40,fault_record,24,efd_possible,4.434829716097288e-06,normal,False,0.9950396825396826
strict_no_event20_no_event67,fold_selected_compact13,2,FN,strict_positive_0052,52,fault_record,21,efd_possible,0.02224025949799153,normal,False,1.0
strict_no_event20_no_event67,fold_selected_compact13,3,FN,strict_positive_0053,53,fault_record,13,efd_possible,0.4689714642291305,normal,False,1.0
strict_no_event20_no_event67,fold_selected_compact13,5,FP,normal_0028,28,normal_event,7,normal,0.6016089829165353,efd_possible,False,1.0
strict_no_event20_no_event67,fold_selected_compact13,4,FP,normal_0061,61,normal_event,14,normal,0.7315734618339846,efd_possible,False,1.0
strict_no_event20_no_event67,fold_selected_compact13,3,FP,normal_0068,68,normal_event,13,normal,0.8535055721233122,efd_possible,False,1.0
strict_no_event20_no_event67,locked_compact13,5,FN,strict_positive_0015,15,fault_record,29,efd_possible,0.2021579338743198,normal,False,1.0
strict_no_event20_no_event67,locked_compact13,4,FN,strict_positive_0040,40,fault_record,24,efd_possible,0.02585373550928132,normal,False,0.9950396825396826
strict_no_event20_no_event67,locked_compact13,2,FN,strict_positive_0052,52,fault_record,21,efd_possible,0.25046659713382063,normal,False,1.0
strict_no_event20_no_event67,locked_compact13,3,FN,strict_positive_0053,53,fault_record,13,efd_possible,0.5654981723682749,normal,False,1.0
strict_no_event20_no_event67,locked_compact13,1,FP,normal_0014,14,normal_event,26,normal,0.7354137689138006,efd_possible,False,1.0
strict_no_event20_no_event67,locked_compact13,3,FP,normal_0068,68,normal_event,13,normal,0.8529977972952004,efd_possible,False,1.0
