file,feature,signal,required_dependencies,missing_dependencies,feature_available
L17_combined_data.csv,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_error,s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint,s_hc1_supply_temperature_setpoint,False
L17_combined_data.csv,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature_setpoint,s_hc1_supply_temperature_setpoint,s_hc1_supply_temperature_setpoint,False
L22_combined_data.csv,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature,outdoor_temperature,,True
L22_combined_data.csv,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature,outdoor_temperature,,True
L22_combined_data.csv,outdoor_temperature__last_minus_first,outdoor_temperature,outdoor_temperature,,True
L22_combined_data.csv,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature,p_hc1_return_temperature,,True
L22_combined_data.csv,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_hc1_return_temperature,p_hc1_return_temperature,,True
L22_combined_data.csv,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_meter_flow,p_net_meter_flow,p_net_meter_flow,False
L22_combined_data.csv,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_return_temperature,p_net_return_temperature,,True
L22_combined_data.csv,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap,p_hc1_return_temperature|p_net_return_temperature,,True
L22_combined_data.csv,p_return_gap__last_minus_first,p_return_gap,p_hc1_return_temperature|p_net_return_temperature,,True
L22_combined_data.csv,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature,s_hc1_supply_temperature,,True
L22_combined_data.csv,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature,s_hc1_supply_temperature,,True
L22_combined_data.csv,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_error,s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint,s_hc1_supply_temperature_setpoint,False
L22_combined_data.csv,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature_setpoint,s_hc1_supply_temperature_setpoint,s_hc1_supply_temperature_setpoint,False
